CAD$,,,,,,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Below The Line,Below The Line,Below The Line,Below The Line,Below The Line,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Equity,Equity,Equity,,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,703.23","37,095.99",,,,,,,,,,,,,,,,,,,"1,703.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,792.51","35,303.48",,,,,,,,,,,,,,,,,,,"1,792.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,792.51","33,510.97",,,,,,,,,,,,,,,,,,,"1,792.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,963.46","31,547.51",,,,,,,,,,,,,,,,,,,"1,963.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,977.48","29,570.03",,,,,,,,,,,,,,,,,,,"1,977.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-2,089.18","27,480.85",,,,,,,,,,,,,,,,,,,"2,089.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-2,089.71","25,391.14",,,,,,,,,,,,,,,,,,,"2,089.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-2,089.71","23,301.43",,,,,,,,,,,,,,,,,,,"2,089.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-2,194.65","21,106.78",,,,,,,,,,,,,,,,,,,"2,194.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-2,605.30","18,501.48",,,,,,,,,,,,,,,,,,,"2,605.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-2,677.22","15,824.26",,,,,,,,,,,,,,,,,,,"2,677.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,VSA DEP12233920,,"3,783.57","19,607.83",,"-3,783.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,VSA DEP12374336,,44.78,"19,652.61",,-44.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-06,VSA FEE12233920,,-68.72,"19,583.89",,,,,,,,,,,,,,,,,,,68.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-07,EF0807 12374336,,104.35,"19,688.24",,-104.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-07,MC DEP 12233920,,"2,478.70","22,166.94",,"-2,478.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-07,MC DEP 12374336,,190.5,"22,357.44",,-190.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-07,MC FEE 12233920,,-52.26,"22,305.18",,,,,,,,,,,,,,,,,,,52.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-07,VSA DEP12233920,,"5,445.99","27,751.17",,"-5,445.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-07,VSA FEE12233920,,-154.31,"27,596.86",,,,,,,,,,,,,,,,,,,154.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-08,Bill Payment FortisBC Energy,,-65.54,"27,531.32",,,,,,,,,,,,,,,,,,,65.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-08,MC DEP 12374336,,107.52,"27,638.84",,-107.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-08,MC FEE 12233920,,-0.13,"27,638.71",,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-08,VSA DEP12233920,,348.94,"27,987.65",,-348.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-08,VSA FEE12233920,,-6.86,"27,980.79",,,,,,,,,,,,,,,,,,,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,Online Banking payment - 2337,CYCLES LAMBERT,-589.02,"27,391.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.02,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,Credit memo,FT916148563,9626.4,"37,018.17",,,,,,,,,,,,,,,,,,,,,,,,,,-9626.4,,,,,,,,,,,,,,,,,,,,,,0,,TRF-001,CAN 1015 USD$,Y,6998.3928,,,,,,,,,,,1
2025-08-11,Misc Payment,HSA CAD CAN,-18.81,"36,999.36",,,,,,,,,,,,,,,,,,,18.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,AMX DEP12233920,,880.66,"37,880.02",,-880.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,EF0811 12374336,,22.39,"37,902.41",,-22.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,MC DEP 12233920,,1534.58,"39,436.99",,-1534.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,MC FEE 12233920,,-28.9,"39,408.09",,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,MC FEE 12233920,,-0.06,"39,408.03",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,MON FEE12233920,,-52.52,"39,355.51",,,,,,,,,,,,,,,,,,,52.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,Online transfer sent - 8645,,-7500,"31,855.51",,,,,,,,,,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,VSA DEP12233920,,2764.31,"34,619.82",,-2764.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,VSA DEP12233920,,1855.53,"36,475.35",,-1855.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,VSA DEP12374336,,167.57,"36,642.92",,-167.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,VSA FEE12233920,,-59.2,"36,583.72",,,,,,,,,,,,,,,,,,,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,VSA FEE12233920,,-48.5,"36,535.22",,,,,,,,,,,,,,,,,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-11,VSA FEE12233920,,-0.08,"36,535.14",,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-12,Direct Deposits (PDS) service total,GRADS8318600000,-983.18,"35,551.96",,,,,,,,,,,,,,,,,,,983.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-12,e-Transfer sent,Hunter Ramey,-416,"35,135.96",,,,,,,,,,,,,,,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-12,MC DEP 12233920,,188.24,"35,324.20",,-188.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-12,MC FEE 12233920,,-3.93,"35,320.27",,,,,,,,,,,,,,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-12,VSA DEP12233920,,3576.69,"38,896.96",,-3576.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-12,VSA FEE12233920,,-65.81,"38,831.15",,,,,,,,,,,,,,,,,,,65.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,Misc Payment,HSA CAD CAN,-36.43,"38,794.72",,,,,,,,,,,,,,,,,,,36.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,Payroll Deposit,PAYROLL,-21303.4,"17,491.32",,,,,,,,,,,,,,,,,,,21303.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,EF0813 12374336,,360.63,"17,851.95",,-360.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,MC DEP 12233920,,1671.52,"19,523.47",,-1671.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,MC FEE 12233920,,-30.56,"19,492.91",,,,,,,,,,,,,,,,,,,30.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,Online transfer sent - 9563,,-7500,"11,992.91",,,,,,,,,,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,VSA DEP12233920,,1258.68,"13,251.59",,-1258.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,VSA DEP12374336,,22.39,"13,273.98",,-22.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-13,VSA FEE12233920,,-26.07,"13,247.91",,,,,,,,,,,,,,,,,,,26.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,Online Banking payment - 4181,CUMBERLAND-UTIL,-360.89,"12,887.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.89,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,Direct Deposits (PDS) service total,GRADS8318600000,-525,"12,362.02",,,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,ATM deposit - BD656384,,22,"12,384.02",,,,,,,,,,,,,,,,,,,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,ATM deposit - BD656385,,139.53,"12,523.55",,,,,,,,,,,,,,,,,,,-139.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,MC DEP 12233920,,1757.64,"14,281.19",,-1757.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,MC DEP 12374336,,26.87,"14,308.06",,-26.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,MC FEE 12233920,,-39.12,"14,268.94",,,,,,,,,,,,,,,,,,,39.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,VSA DEP12233920,,6913.09,"21,182.03",,-6913.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,VSA DEP12374336,,51.23,"21,233.26",,-51.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-14,VSA FEE12233920,,-135.96,"21,097.30",,,,,,,,,,,,,,,,,,,135.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-15,Misc Payment,RBC CREDIT CARD,-658,"20,439.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,658,,,,,,,,,,,,,,,,,,,,0,,TRF-V5-001,CAN 2130 CAD,,,,,,,,,,,,,2
2025-08-15,Misc Payment,RBC CREDIT CARD,-19404.79,"1,034.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,19404.79,,,,,,,,,,,,,,,,,,,,0,,TRF-V4-001,CAN 2110 CAD,N,,,,,,,,,,,,3
2025-08-15,VSA DEP12233920,,4976.96,"6,011.47",,-4976.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-15,VSA FEE12233920,,-95.54,"5,915.93",,,,,,,,,,,,,,,,,,,95.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,Credit memo,FT916169966,6202.8,"12,118.73",,,,,,,,,,,,,,,,,,,,,,,,,,-6202.8,,,,,,,,,,,,,,,,,,,,,,0,,TRF-006,CAN 1015 USD$,Y,4509.4356,,,,,,,,,,,4
2025-08-18,Misc Payment,HSA CAD CAN,-303.73,"11,815.00",,,,,,,,,,,,,,,,,,,303.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,Business PAD,KATIE THIESSEN,-1988.64,"9,826.36",,,,,,,,,,,,,,,,,,,1988.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,Misc Payment,PAYPAL,101.9,"9,928.26",,-101.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,AMX DEP12233920,,99.03,"10,027.29",,-99.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,MC DEP 12233920,,257.26,"10,284.55",,-257.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,MC DEP 12374336,,1.68,"10,286.23",,-1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,MC FEE 12233920,,-5.8,"10,280.43",,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,MC FEE 12233920,,-0.06,"10,280.37",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,VSA DEP12233920,,183.42,"10,463.79",,-183.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,VSA DEP12374336,,14.55,"10,478.34",,-14.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,VSA FEE12233920,,-3.57,"10,474.77",,,,,,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-18,VSA FEE12233920,,-0.13,"10,474.64",,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Overdraft interest,@ RBP+05.00%P.A,-0.9,"10,473.74",,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,GST,CANADA,6304.57,"16,778.31",,,,,,,,,,,,,,,,,,,-6304.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
